id	name	latitude	longitude	createdAt
1	대한민국 서울역	37.5547125	126.9707878	2026-01-01T15:00Z
2	대한민국 강남역	37.4979502	127.0276368	2026-01-01T15:00Z
3	대한민국 홍대입구역	37.5579452	126.9227004	2026-01-01T15:00Z
4	대한민국 부산역	35.1147954	129.0403149	2026-01-01T15:00Z
5	대한민국 제주국제공항	33.5067379	126.4929014	2026-01-01T15:00Z
6	대한민국 인천국제공항	37.4602083	126.4407083	2026-01-01T15:00Z
7	대한민국 광화문	37.5759011	126.9768433	2026-01-01T15:00Z
8	대한민국 남산타워	37.5511694	126.9882266	2026-01-01T15:00Z
9	대한민국 여의도공원	37.5289837	126.9248523	2026-01-01T15:00Z
10	대한민국 한강공원	37.5293834	126.9346417	2026-01-01T15:00Z
11	프랑스 에펠탑	48.8583701	2.2944813	2026-01-01T15:00Z
12	미국 자유의 여신상	40.6892494	-74.0445004	2026-01-01T15:00Z
13	미국 타임스퀘어	40.758895	-73.985131	2026-01-01T15:00Z
14	이탈리아 콜로세움	41.8902102	12.4922309	2026-01-01T15:00Z
15	영국 빅벤	51.5007292	-0.1246254	2026-01-01T15:00Z
16	호주 시드니 오페라 하우스	-33.8567844	151.2152967	2026-01-01T15:00Z
17	중국 만리장성(바달링)	40.365222	116.020403	2026-01-01T15:00Z
18	이탈리아 피사의 사탑	43.722952	10.396597	2026-01-01T15:00Z
19	아랍에미리트 두바이 부르즈 할리파	25.197197	55.274376	2026-01-01T15:00Z
20	페루 마추픽추	-13.163141	-72.544963	2026-01-01T15:00Z
